parameter,value,ccrms_mean_revenue,centralised_mean_revenue,saving_pct_vs_centralised,ccrms_win_rate
audienceMu,500,27184.953521496172,27247.584568674563,-0.22985907987747006,0.182625
audienceMu,1000,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
audienceMu,2000,106576.37981488954,83050.77557983281,28.326772472392708,0.400745
audienceMu,5000,265359.2324016801,194657.15760214554,36.32133319445699,0.5723025
audienceSigma,1,12442.202588495076,16874.078487556573,-26.26440254103173,0.155685
audienceSigma,1.5,22711.734976649986,24088.48805988068,-5.715398491629176,0.2286175
audienceSigma,2,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
audienceSigma,3,626386.1281631048,450366.0480204001,39.083781052414395,0.3452
priceLow,0.5,53131.076200031646,45405.17566669656,17.015462268108394,0.2809325
priceLow,1,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
priceLow,2,54684.13445782607,46735.593383789084,17.007467967217575,0.281015
priceLow,5,57790.250973417285,49396.42881797182,16.992771251494915,0.281065
priceHigh,20,22074.727316046046,18871.62638246122,16.973104854183106,0.2807425
priceHigh,50,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
priceHigh,100,106272.1539024863,90810.35133339312,17.026475883050033,0.28108
priceHigh,200,211518.93713553285,180733.75752205815,17.03344191785391,0.281155
subAlpha,1,47078.80769997913,39167.92549818658,20.197347960536767,0.2987025
subAlpha,2,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
subAlpha,3,56233.77291659322,49181.43227709714,14.3394372895891,0.266795
subAlpha,5,62380.97959929634,55570.65416967463,12.25525510070055,0.2533125
ppvAlpha,0.5,50586.9553495677,43324.13415390793,16.763915396113347,0.2809225
ppvAlpha,1,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
ppvAlpha,2,56896.633042967434,48409.35480593049,17.53231017240741,0.2816575
ppvAlpha,3,59965.97800179379,50720.9916636996,18.227140351261536,0.289755
resaleLambda,0.05,54513.84979273463,46534.68165348609,17.146712636102865,0.2825675
resaleLambda,0.1,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
resaleLambda,0.2,51921.567434558376,44495.59823703538,16.68922206183999,0.2781
resaleLambda,0.5,47469.277168667555,40991.92726273621,15.801525662394495,0.270205
subMonths,1,66063.80399674135,52423.139123714514,26.020312978274596,0.3227925
subMonths,6,59334.31070772728,49095.0485136581,20.855997710686953,0.3006475
subMonths,12,53648.76228596182,45848.6482390603,17.012745951049205,0.2809775
subMonths,24,47085.34900868817,41174.55715713985,14.355447294770402,0.26495
